"","Model_ID","Model_name","time","main_type","sub_type","type","series","history","support"
"78","181","REXP-1620U-RP","2015/08/19","Expansion Units","Mid-range","16-Bay","REXP Series Expansion Units","","ㄳㅴ누"
"79","180","REXP-1220U-RP","2015/08/19","Expansion Units","Mid-range","12-Bay","REXP Series Expansion Units","","ㄳㅴ누"
"80","179","TVS-EC2480U-SAS-RP","2015/08/19","Enterprise","High-end","24-Bay","TVS-ECx80U-SAS Series","EOL","ㅴ누"
"81","178","TVS-EC1680U-SAS-RP","2015/08/19","Enterprise","High-end","16-Bay","TVS-ECx80U-SAS Series","EOL","ㅴ누"
"82","177","TVS-EC1580MU-SAS-RP","2015/08/19","Enterprise","High-end","15-Bay","TVS-ECx80U-SAS Series","","ㅴ누"
"83","176","TVS-EC1280U-SAS-RP","2015/08/19","Enterprise","High-end","12-Bay","TVS-ECx80U-SAS Series","EOL","ㅴ누"
"84","175","TVS-863+","2014/12/09","SMB","Mid-range","8-Bay","TVS-x63 Series","","ㅴ누"
"85","174","TVS-863","2014/12/09","SMB","Mid-range","8-Bay","TVS-x63 Series","","ㅴ누"
"86","173","TVS-663","2014/12/09","SMB","Mid-range","6-Bay","TVS-x63 Series","","ㅴ누"
"87","172","TVS-463","2014/12/09","SMB","Mid-range","4-Bay","TVS-x63 Series","","ㅴ누"
"88","171","TS-431+","2014/12/09","Home & SOHO","Work Group / SOHO / Home (Middle-end)","4-Bay","TS-x31+ Series","EOL","ㅴ누"
